id,ref_count,year,year_ref,doc_type,n_citation_ref,n_citation,n_citation_ref_count,Point
71828450,66,66,66,66,66,66,66,66
18818645,66,66,66,66,66,66,66,66
48960680,66,66,66,66,66,66,66,66
113618157,66,66,66,66,66,66,66,66
83120755,66,66,66,66,66,66,66,66
52769613,66,66,66,66,66,66,66,66
24138527,66,66,66,66,66,66,66,66
41246323,66,66,66,66,66,66,66,66
17934386,66,66,66,66,66,66,66,66
95059149,65,65,65,65,65,65,65,65
141818611,65,65,65,65,65,65,65,65
11234669,65,65,65,65,65,65,65,65
88170237,65,65,65,65,65,65,65,65
102487546,65,65,65,65,65,65,65,65
136147141,65,65,65,65,65,65,65,65
66890255,65,65,65,65,65,65,65,65
30167338,65,65,65,65,65,65,65,65
3649569,64,64,64,64,64,64,64,64
2204146,64,64,64,64,64,64,64,64
94041557,64,64,64,64,64,64,64,64
55812124,64,64,64,64,64,64,64,64
88375308,64,64,64,64,64,64,64,64
34653427,64,64,64,64,64,64,64,64
2400996,64,64,64,64,64,64,64,64
82637843,64,64,64,64,64,64,64,64
50357153,64,64,64,64,64,64,64,64
29422724,63,63,63,63,63,63,63,63
99053925,63,63,63,63,63,63,63,63
130395163,63,63,63,63,63,63,63,63
48298789,63,63,63,63,63,63,63,63
122090056,63,63,63,63,63,63,63,63
123653281,63,63,63,63,63,63,63,63
83289625,63,63,63,63,63,63,63,63
68843758,63,63,63,63,63,63,63,63
34446835,62,62,62,62,62,62,62,62
97016928,62,62,62,62,62,62,62,62
5652497,62,62,62,62,62,62,62,62
38457568,62,62,62,62,62,62,62,62
101073733,62,62,62,62,62,62,62,62
64666703,62,62,62,62,62,62,62,62
143018197,62,62,62,62,62,62,62,62
148781290,62,62,62,62,62,62,62,62
61723185,62,62,62,62,62,62,62,62
104982740,62,62,62,62,62,62,62,62
121890015,61,61,61,61,61,61,61,61
43579651,61,61,61,61,61,61,61,61
4180724,61,61,61,61,61,61,61,61
34444373,61,61,61,61,61,61,61,61
59004731,61,61,61,61,61,61,61,61
113187444,60,60,60,60,60,60,60,60
192821,60,60,60,60,60,60,60,60
151792660,60,60,60,60,60,60,60,60
57551437,60,60,60,60,60,60,60,60
157767723,60,60,60,60,60,60,60,60
115709341,60,60,60,60,60,60,60,60
127060716,60,60,60,60,60,60,60,60
11167652,59,59,59,59,59,59,59,59
21468259,59,59,59,59,59,59,59,59
119849253,59,59,59,59,59,59,59,59
85711746,59,59,59,59,59,59,59,59
31430198,59,59,59,59,59,59,59,59
31682033,59,59,59,59,59,59,59,59
35224655,59,59,59,59,59,59,59,59
120175844,59,59,59,59,59,59,59,59
28407686,59,59,59,59,59,59,59,59
58450904,59,59,59,59,59,59,59,59
91079502,59,59,59,59,59,59,59,59
12118277,59,59,59,59,59,59,59,59
43172036,59,59,59,59,59,59,59,59
64852417,59,59,59,59,59,59,59,59
29702936,59,59,59,59,59,59,59,59
51265332,59,59,59,59,59,59,59,59
161286168,58,58,58,58,58,58,58,58
38367909,58,58,58,58,58,58,58,58
151785663,58,58,58,58,58,58,58,58
141761747,58,58,58,58,58,58,58,58
80463681,58,58,58,58,58,58,58,58
52588496,58,58,58,58,58,58,58,58
122470184,58,58,58,58,58,58,58,58
9566228,58,58,58,58,58,58,58,58
91512407,58,58,58,58,58,58,58,58
91760514,58,58,58,58,58,58,58,58
22458235,58,58,58,58,58,58,58,58
25360926,57,57,57,57,57,57,57,57
64332451,57,57,57,57,57,57,57,57
27687910,57,57,57,57,57,57,57,57
87446281,57,57,57,57,57,57,57,57
35277665,57,57,57,57,57,57,57,57
130269018,57,57,57,57,57,57,57,57
10998707,57,57,57,57,57,57,57,57
106195581,57,57,57,57,57,57,57,57
132732950,57,57,57,57,57,57,57,57
115097869,57,57,57,57,57,57,57,57
123619551,57,57,57,57,57,57,57,57
128080946,57,57,57,57,57,57,57,57
92988379,57,57,57,57,57,57,57,57
30390324,56,56,56,56,56,56,56,56
69872152,56,56,56,56,56,56,56,56
36004361,56,56,56,56,56,56,56,56
23367426,56,56,56,56,56,56,56,56
88207466,56,56,56,56,56,56,56,56
74090038,56,56,56,56,56,56,56,56
138956590,56,56,56,56,56,56,56,56
90737273,56,56,56,56,56,56,56,56
126073436,56,56,56,56,56,56,56,56
23650548,56,56,56,56,56,56,56,56
24636605,56,56,56,56,56,56,56,56
82187197,56,56,56,56,56,56,56,56
44174323,56,56,56,56,56,56,56,56
132528316,56,56,56,56,56,56,56,56
116068320,56,56,56,56,56,56,56,56
143337359,56,56,56,56,56,56,56,56
1678144,56,56,56,56,56,56,56,56
156605237,56,56,56,56,56,56,56,56
98374482,56,56,56,56,56,56,56,56
127622208,56,56,56,56,56,56,56,56
112035675,56,56,56,56,56,56,56,56
156658180,56,56,56,56,56,56,56,56
3359552,56,56,56,56,56,56,56,56
104675468,56,56,56,56,56,56,56,56
36602197,56,56,56,56,56,56,56,56
29237566,56,56,56,56,56,56,56,56
126880940,55,55,55,55,55,55,55,55
8466117,55,55,55,55,55,55,55,55
137737051,55,55,55,55,55,55,55,55
97558857,55,55,55,55,55,55,55,55
163345156,55,55,55,55,55,55,55,55
57161760,55,55,55,55,55,55,55,55
81251885,55,55,55,55,55,55,55,55
123738797,55,55,55,55,55,55,55,55
129748363,55,55,55,55,55,55,55,55
10980763,55,55,55,55,55,55,55,55
74302437,55,55,55,55,55,55,55,55
152913209,55,55,55,55,55,55,55,55
143358207,55,55,55,55,55,55,55,55
44656795,55,55,55,55,55,55,55,55
155506134,55,55,55,55,55,55,55,55
66583193,55,55,55,55,55,55,55,55
105497901,55,55,55,55,55,55,55,55
137681689,55,55,55,55,55,55,55,55
65096963,55,55,55,55,55,55,55,55
47345180,55,55,55,55,55,55,55,55
96549597,54,54,54,54,54,54,54,54
26932585,54,54,54,54,54,54,54,54
141397823,54,54,54,54,54,54,54,54
85424869,54,54,54,54,54,54,54,54
38269576,54,54,54,54,54,54,54,54
127911944,54,54,54,54,54,54,54,54
119445844,54,54,54,54,54,54,54,54
122276960,54,54,54,54,54,54,54,54
20814214,54,54,54,54,54,54,54,54
20432018,54,54,54,54,54,54,54,54
94920483,54,54,54,54,54,54,54,54
135644718,54,54,54,54,54,54,54,54
26248759,54,54,54,54,54,54,54,54
16369102,54,54,54,54,54,54,54,54
74973629,54,54,54,54,54,54,54,54
36481468,53,53,53,53,53,53,53,53
115478859,53,53,53,53,53,53,53,53
64999592,53,53,53,53,53,53,53,53
56462642,53,53,53,53,53,53,53,53
120955069,53,53,53,53,53,53,53,53
14714132,53,53,53,53,53,53,53,53
96695053,53,53,53,53,53,53,53,53
43749187,53,53,53,53,53,53,53,53
35662497,53,53,53,53,53,53,53,53
123523244,53,53,53,53,53,53,53,53
88420501,53,53,53,53,53,53,53,53
9301068,53,53,53,53,53,53,53,53
9804819,53,53,53,53,53,53,53,53
104815638,53,53,53,53,53,53,53,53
6738442,53,53,53,53,53,53,53,53
59370666,53,53,53,53,53,53,53,53
128370327,53,53,53,53,53,53,53,53
111144756,53,53,53,53,53,53,53,53
33747096,53,53,53,53,53,53,53,53
110856585,53,53,53,53,53,53,53,53
7615168,53,53,53,53,53,53,53,53
68943992,53,53,53,53,53,53,53,53
106195609,52,52,52,52,52,52,52,52
110249990,52,52,52,52,52,52,52,52
50901504,52,52,52,52,52,52,52,52
47773411,52,52,52,52,52,52,52,52
26069907,52,52,52,52,52,52,52,52
25564820,52,52,52,52,52,52,52,52
63231591,52,52,52,52,52,52,52,52
133337520,52,52,52,52,52,52,52,52
126877032,52,52,52,52,52,52,52,52
34069334,52,52,52,52,52,52,52,52
81245908,52,52,52,52,52,52,52,52
83470815,52,52,52,52,52,52,52,52
87035033,52,52,52,52,52,52,52,52
58683544,52,52,52,52,52,52,52,52
155760863,52,52,52,52,52,52,52,52
138572108,52,52,52,52,52,52,52,52
85209358,52,52,52,52,52,52,52,52
137962550,52,52,52,52,52,52,52,52
26718062,52,52,52,52,52,52,52,52
40928832,52,52,52,52,52,52,52,52
77492470,51,51,51,51,51,51,51,51
18012477,51,51,51,51,51,51,51,51
2137705,51,51,51,51,51,51,51,51
147108263,51,51,51,51,51,51,51,51
97697533,51,51,51,51,51,51,51,51
15601695,51,51,51,51,51,51,51,51
98102466,51,51,51,51,51,51,51,51
116450752,51,51,51,51,51,51,51,51
78721095,51,51,51,51,51,51,51,51
126326796,51,51,51,51,51,51,51,51
86486821,51,51,51,51,51,51,51,51
87400274,51,51,51,51,51,51,51,51
56897548,51,51,51,51,51,51,51,51
134885344,51,51,51,51,51,51,51,51
16876619,51,51,51,51,51,51,51,51
22973579,51,51,51,51,51,51,51,51
33885198,51,51,51,51,51,51,51,51
121778973,51,51,51,51,51,51,51,51
153499082,51,51,51,51,51,51,51,51
138587896,51,51,51,51,51,51,51,51
160617963,51,51,51,51,51,51,51,51
54797733,51,51,51,51,51,51,51,51
131937591,51,51,51,51,51,51,51,51
39833282,51,51,51,51,51,51,51,51
118614212,51,51,51,51,51,51,51,51
86304850,51,51,51,51,51,51,51,51
111599445,51,51,51,51,51,51,51,51
44316653,51,51,51,51,51,51,51,51
79278826,51,51,51,51,51,51,51,51
93261043,50,50,50,50,50,50,50,50
95926497,50,50,50,50,50,50,50,50
6269798,50,50,50,50,50,50,50,50
102125637,50,50,50,50,50,50,50,50
3594516,50,50,50,50,50,50,50,50
121173099,50,50,50,50,50,50,50,50
102536876,50,50,50,50,50,50,50,50
51306472,50,50,50,50,50,50,50,50
66855977,50,50,50,50,50,50,50,50
131203676,50,50,50,50,50,50,50,50
32070321,50,50,50,50,50,50,50,50
156509383,50,50,50,50,50,50,50,50
66106833,50,50,50,50,50,50,50,50
78461750,50,50,50,50,50,50,50,50
100414077,50,50,50,50,50,50,50,50
96649801,50,50,50,50,50,50,50,50
52114703,50,50,50,50,50,50,50,50
63452783,50,50,50,50,50,50,50,50
3756466,50,50,50,50,50,50,50,50
86302728,50,50,50,50,50,50,50,50
43395602,50,50,50,50,50,50,50,50
27751964,50,50,50,50,50,50,50,50
75729132,50,50,50,50,50,50,50,50
796041,50,50,50,50,50,50,50,50
116345082,50,50,50,50,50,50,50,50
30719520,49,49,49,49,49,49,49,49
141627147,49,49,49,49,49,49,49,49
23474907,49,49,49,49,49,49,49,49
82733688,49,49,49,49,49,49,49,49
126178194,49,49,49,49,49,49,49,49
134197611,49,49,49,49,49,49,49,49
32627634,49,49,49,49,49,49,49,49
92464421,49,49,49,49,49,49,49,49
148130344,49,49,49,49,49,49,49,49
122561124,49,49,49,49,49,49,49,49
149611411,49,49,49,49,49,49,49,49
100686880,49,49,49,49,49,49,49,49
18192006,49,49,49,49,49,49,49,49
22007176,49,49,49,49,49,49,49,49
77236829,49,49,49,49,49,49,49,49
110982490,49,49,49,49,49,49,49,49
111636290,49,49,49,49,49,49,49,49
121860155,49,49,49,49,49,49,49,49
145069193,48,48,48,48,48,48,48,48
85413308,48,48,48,48,48,48,48,48
89353549,48,48,48,48,48,48,48,48
28380714,48,48,48,48,48,48,48,48
29485814,48,48,48,48,48,48,48,48
63560662,48,48,48,48,48,48,48,48
32753533,48,48,48,48,48,48,48,48
62173164,48,48,48,48,48,48,48,48
16762060,48,48,48,48,48,48,48,48
90654214,48,48,48,48,48,48,48,48
104074713,48,48,48,48,48,48,48,48
3002624,48,48,48,48,48,48,48,48
15103390,48,48,48,48,48,48,48,48
96688392,48,48,48,48,48,48,48,48
116914405,48,48,48,48,48,48,48,48
29232659,48,48,48,48,48,48,48,48
14739406,48,48,48,48,48,48,48,48
39512316,48,48,48,48,48,48,48,48
65851856,48,48,48,48,48,48,48,48
53588593,48,48,48,48,48,48,48,48
2026351,48,48,48,48,48,48,48,48
147723608,48,48,48,48,48,48,48,48
53088276,48,48,48,48,48,48,48,48
5188854,48,48,48,48,48,48,48,48
4664959,48,48,48,48,48,48,48,48
53946683,48,48,48,48,48,48,48,48
139192289,48,48,48,48,48,48,48,48
78559035,48,48,48,48,48,48,48,48
124301947,48,48,48,48,48,48,48,48
50439157,48,48,48,48,48,48,48,48
79303498,48,48,48,48,48,48,48,48
129912261,48,48,48,48,48,48,48,48
137398889,48,48,48,48,48,48,48,48
34490779,47,47,47,47,47,47,47,47
109365102,47,47,47,47,47,47,47,47
97210008,47,47,47,47,47,47,47,47
129813967,47,47,47,47,47,47,47,47
45686327,47,47,47,47,47,47,47,47
138503173,47,47,47,47,47,47,47,47
21325108,47,47,47,47,47,47,47,47
20446002,47,47,47,47,47,47,47,47
123982455,47,47,47,47,47,47,47,47
158985585,47,47,47,47,47,47,47,47
101345952,47,47,47,47,47,47,47,47
150929276,47,47,47,47,47,47,47,47
119268588,47,47,47,47,47,47,47,47
78120075,47,47,47,47,47,47,47,47
109522726,47,47,47,47,47,47,47,47
94564539,47,47,47,47,47,47,47,47
67472587,47,47,47,47,47,47,47,47
72129948,47,47,47,47,47,47,47,47
152565581,47,47,47,47,47,47,47,47
81493280,47,47,47,47,47,47,47,47
55958199,47,47,47,47,47,47,47,47
47380661,47,47,47,47,47,47,47,47
150489383,47,47,47,47,47,47,47,47
27369194,47,47,47,47,47,47,47,47
89161226,47,47,47,47,47,47,47,47
110477470,47,47,47,47,47,47,47,47
110520544,47,47,47,47,47,47,47,47
120599470,47,47,47,47,47,47,47,47
59130516,47,47,47,47,47,47,47,47
146499046,47,47,47,47,47,47,47,47
37808110,47,47,47,47,47,47,47,47
63172045,46,46,46,46,46,46,46,46
94853613,46,46,46,46,46,46,46,46
146412144,46,46,46,46,46,46,46,46
72088611,46,46,46,46,46,46,46,46
125329575,46,46,46,46,46,46,46,46
46283328,46,46,46,46,46,46,46,46
23343835,46,46,46,46,46,46,46,46
124447425,46,46,46,46,46,46,46,46
149653300,46,46,46,46,46,46,46,46
11401934,46,46,46,46,46,46,46,46
30379028,46,46,46,46,46,46,46,46
802089,46,46,46,46,46,46,46,46
69285469,46,46,46,46,46,46,46,46
81189796,46,46,46,46,46,46,46,46
98028116,46,46,46,46,46,46,46,46
54183895,46,46,46,46,46,46,46,46
84772334,46,46,46,46,46,46,46,46
8306339,46,46,46,46,46,46,46,46
88773160,46,46,46,46,46,46,46,46
99218589,46,46,46,46,46,46,46,46
111394273,46,46,46,46,46,46,46,46
49583597,46,46,46,46,46,46,46,46
29965319,46,46,46,46,46,46,46,46
64763236,46,46,46,46,46,46,46,46
152712179,46,46,46,46,46,46,46,46
158925673,46,46,46,46,46,46,46,46
112151183,46,46,46,46,46,46,46,46
63025873,46,46,46,46,46,46,46,46
122504873,46,46,46,46,46,46,46,46
74813591,46,46,46,46,46,46,46,46
79702377,46,46,46,46,46,46,46,46
43185748,46,46,46,46,46,46,46,46
43152956,46,46,46,46,46,46,46,46
7682646,46,46,46,46,46,46,46,46
102160496,46,46,46,46,46,46,46,46
145255010,46,46,46,46,46,46,46,46
146262440,46,46,46,46,46,46,46,46
109678702,46,46,46,46,46,46,46,46
91598092,46,46,46,46,46,46,46,46
60689211,46,46,46,46,46,46,46,46
68510733,46,46,46,46,46,46,46,46
25581851,46,46,46,46,46,46,46,46
63082618,46,46,46,46,46,46,46,46
22260588,46,46,46,46,46,46,46,46
10158986,46,46,46,46,46,46,46,46
13772357,46,46,46,46,46,46,46,46
121367636,46,46,46,46,46,46,46,46
149587174,46,46,46,46,46,46,46,46
120070159,46,46,46,46,46,46,46,46
157873616,46,46,46,46,46,46,46,46
8855782,46,46,46,46,46,46,46,46
160531897,46,46,46,46,46,46,46,46
119779496,46,46,46,46,46,46,46,46
120993663,46,46,46,46,46,46,46,46
4352161,46,46,46,46,46,46,46,46
73072485,45,45,45,45,45,45,45,45
158499522,45,45,45,45,45,45,45,45
108157922,45,45,45,45,45,45,45,45
144724653,45,45,45,45,45,45,45,45
101553452,45,45,45,45,45,45,45,45
160895783,45,45,45,45,45,45,45,45
103082649,45,45,45,45,45,45,45,45
9035906,45,45,45,45,45,45,45,45
73269325,45,45,45,45,45,45,45,45
117911312,45,45,45,45,45,45,45,45
158904340,45,45,45,45,45,45,45,45
105847575,45,45,45,45,45,45,45,45
123025585,45,45,45,45,45,45,45,45
108038394,45,45,45,45,45,45,45,45
44697276,45,45,45,45,45,45,45,45
163655713,45,45,45,45,45,45,45,45
8936021,45,45,45,45,45,45,45,45
14808634,45,45,45,45,45,45,45,45
133980918,45,45,45,45,45,45,45,45
60027889,45,45,45,45,45,45,45,45
107256919,45,45,45,45,45,45,45,45
96043128,45,45,45,45,45,45,45,45
33581195,45,45,45,45,45,45,45,45
98895588,45,45,45,45,45,45,45,45
57198604,45,45,45,45,45,45,45,45
131386388,45,45,45,45,45,45,45,45
125628004,45,45,45,45,45,45,45,45
126559183,45,45,45,45,45,45,45,45
157865340,45,45,45,45,45,45,45,45
96903822,45,45,45,45,45,45,45,45
102557767,45,45,45,45,45,45,45,45
76791259,45,45,45,45,45,45,45,45
40900912,45,45,45,45,45,45,45,45
131768330,45,45,45,45,45,45,45,45
150235323,45,45,45,45,45,45,45,45
17986227,45,45,45,45,45,45,45,45
81185357,45,45,45,45,45,45,45,45
62311994,45,45,45,45,45,45,45,45
30636452,45,45,45,45,45,45,45,45
21497345,45,45,45,45,45,45,45,45
92989823,45,45,45,45,45,45,45,45
115030797,45,45,45,45,45,45,45,45
55163080,45,45,45,45,45,45,45,45
84502718,45,45,45,45,45,45,45,45
72736654,45,45,45,45,45,45,45,45
117558643,45,45,45,45,45,45,45,45
98320937,45,45,45,45,45,45,45,45
80579759,45,45,45,45,45,45,45,45
127369770,45,45,45,45,45,45,45,45
135870293,45,45,45,45,45,45,45,45
29684811,45,45,45,45,45,45,45,45
13752840,44,44,44,44,44,44,44,44
152517204,44,44,44,44,44,44,44,44
82228504,44,44,44,44,44,44,44,44
163061601,44,44,44,44,44,44,44,44
117477223,44,44,44,44,44,44,44,44
20975570,44,44,44,44,44,44,44,44
154961679,44,44,44,44,44,44,44,44
21493248,44,44,44,44,44,44,44,44
80621008,44,44,44,44,44,44,44,44
24373999,44,44,44,44,44,44,44,44
158216130,44,44,44,44,44,44,44,44
129908452,44,44,44,44,44,44,44,44
40658589,44,44,44,44,44,44,44,44
41422020,44,44,44,44,44,44,44,44
67340349,44,44,44,44,44,44,44,44
60109736,44,44,44,44,44,44,44,44
62104459,44,44,44,44,44,44,44,44
138620095,44,44,44,44,44,44,44,44
59966457,44,44,44,44,44,44,44,44
54640647,44,44,44,44,44,44,44,44
16985647,44,44,44,44,44,44,44,44
45359297,44,44,44,44,44,44,44,44
110455643,44,44,44,44,44,44,44,44
110888411,44,44,44,44,44,44,44,44
98491823,44,44,44,44,44,44,44,44
142318018,44,44,44,44,44,44,44,44
158960985,44,44,44,44,44,44,44,44
79696261,44,44,44,44,44,44,44,44
73515765,44,44,44,44,44,44,44,44
57839009,44,44,44,44,44,44,44,44
68733909,44,44,44,44,44,44,44,44
131666323,44,44,44,44,44,44,44,44
120291815,44,44,44,44,44,44,44,44
94361082,44,44,44,44,44,44,44,44
4166088,44,44,44,44,44,44,44,44
61175307,44,44,44,44,44,44,44,44
41893858,44,44,44,44,44,44,44,44
79594476,44,44,44,44,44,44,44,44
103140967,44,44,44,44,44,44,44,44
24762504,44,44,44,44,44,44,44,44
57215181,44,44,44,44,44,44,44,44
33280238,44,44,44,44,44,44,44,44
95927162,44,44,44,44,44,44,44,44
46376622,44,44,44,44,44,44,44,44
103653679,44,44,44,44,44,44,44,44
96189214,44,44,44,44,44,44,44,44
52920192,44,44,44,44,44,44,44,44
5294680,44,44,44,44,44,44,44,44
33870844,44,44,44,44,44,44,44,44
64428603,44,44,44,44,44,44,44,44
60645813,44,44,44,44,44,44,44,44
88867093,44,44,44,44,44,44,44,44
33864801,44,44,44,44,44,44,44,44
137122467,44,44,44,44,44,44,44,44
156442757,44,44,44,44,44,44,44,44
33042790,44,44,44,44,44,44,44,44
33016721,43,43,43,43,43,43,43,43
16261113,43,43,43,43,43,43,43,43
86985859,43,43,43,43,43,43,43,43
129091472,43,43,43,43,43,43,43,43
23286050,43,43,43,43,43,43,43,43
139795252,43,43,43,43,43,43,43,43
39687211,43,43,43,43,43,43,43,43
144407630,43,43,43,43,43,43,43,43
59204914,43,43,43,43,43,43,43,43
12579158,43,43,43,43,43,43,43,43
95258188,43,43,43,43,43,43,43,43
47961628,43,43,43,43,43,43,43,43
31179980,43,43,43,43,43,43,43,43
160019373,43,43,43,43,43,43,43,43
4149471,43,43,43,43,43,43,43,43
121159850,43,43,43,43,43,43,43,43
13223599,43,43,43,43,43,43,43,43
74596437,43,43,43,43,43,43,43,43
96388050,43,43,43,43,43,43,43,43
116233485,43,43,43,43,43,43,43,43
660320,43,43,43,43,43,43,43,43
32394118,43,43,43,43,43,43,43,43
98619885,43,43,43,43,43,43,43,43
22739956,43,43,43,43,43,43,43,43
131283763,43,43,43,43,43,43,43,43
121759093,43,43,43,43,43,43,43,43
40694820,43,43,43,43,43,43,43,43
73452497,43,43,43,43,43,43,43,43
106850073,43,43,43,43,43,43,43,43
81387066,43,43,43,43,43,43,43,43
2436624,43,43,43,43,43,43,43,43
28997651,43,43,43,43,43,43,43,43
57204857,43,43,43,43,43,43,43,43
149184453,43,43,43,43,43,43,43,43
112288133,43,43,43,43,43,43,43,43
20286062,43,43,43,43,43,43,43,43
25351223,43,43,43,43,43,43,43,43
34240830,43,43,43,43,43,43,43,43
162223952,43,43,43,43,43,43,43,43
9312533,43,43,43,43,43,43,43,43
68630544,43,43,43,43,43,43,43,43
17122945,43,43,43,43,43,43,43,43
14235181,43,43,43,43,43,43,43,43
28659641,43,43,43,43,43,43,43,43
74947674,43,43,43,43,43,43,43,43
81018588,43,43,43,43,43,43,43,43
158920395,43,43,43,43,43,43,43,43
100273451,43,43,43,43,43,43,43,43
81264872,43,43,43,43,43,43,43,43
70975097,43,43,43,43,43,43,43,43
42388211,43,43,43,43,43,43,43,43
110796091,43,43,43,43,43,43,43,43
77105912,43,43,43,43,43,43,43,43
131563506,43,43,43,43,43,43,43,43
