user_id,recommended_products
12393.0,"[(22991, 0.801962), (22493, 0.6547665), (22191, 1.0), (21430, 0.7532976), (22255, 0.9993531), (9016512, 0.9405738), (22877, 0.99999726), (21064, 1.0), (213, 1.0), (21399, 0.9999771)]"
12394.0,"[(22191, 0.99858934), (23215, 0.9997123), (21479, 0.9999963), (21430, 0.9999999), (22907, 0.9999645), (8503911, 0.99998116), (21196, 0.99999964), (22362, 0.79788977), (22411, 0.9991204), (21059, 0.9999999)]"
12395.0,"[(21430, 1.0), (22991, 1.0), (23215, 1.0), (22493, 0.9900765), (23228, 0.8791741), (7919011, 1.0), (9014113, 0.99999785), (20893, 1.0), (22985, 0.9999831), (23430, 0.8630767)]"
12397.0,"[(84879, 0.99999976), (22197, 0.9993832), (21731, 0.7911595), (21479, 0.80527806), (35967, 0.7019399), (1708411, 0.9997104), (23526, 1.0), (21497, 0.8152311), (22147, 0.99322224), (20967, 1.0)]"
12398.0,"[(21479, 0.99959046), (22991, 0.9998692), (22561, 0.93186605), (21430, 0.9999981), (20969, 0.9962682), (9021414, 1.0), (20682, 0.8813538), (1701212, 0.84820837), (21555, 0.8962143), (22929, 1.0)]"
12399.0,"[(84879, 0.9997569), (22191, 0.98987764), (22493, 0.9999958), (22197, 0.9998896), (22602, 0.96913695), (23263, 0.9996049), (22917, 0.999736), (21359, 0.8380606), (22268, 0.8272386), (22818, 0.99744797)]"
12401.0,"[(22991, 0.9998093), (23215, 0.9994074), (84879, 0.99900275), (21430, 0.99686426), (84946, 0.84207875), (84799, 0.9999999), (1012411, 0.9994696), (21313, 0.9241915), (21220, 0.77140623), (21469, 0.7623247)]"
12402.0,"[(21430, 0.99958414), (23203, 0.9999999), (84879, 0.99998784), (22197, 0.9993266), (4677615, 1.0), (23568, 0.98107576), (4759112, 0.878934), (8501411, 0.82879984), (21761, 0.99989855), (22777, 1.0)]"
12403.0,"[(21731, 0.9997614), (22197, 0.998312), (23203, 0.998708), (23215, 1.0), (20970, 0.9999989), (8420611, 0.99958926), (22227, 0.99987817), (23147, 0.99999917), (23370, 0.99941635), (8487412, 1.0)]"
12405.0,"[(84879, 0.43313125), (23215, 0.4392896), (22493, 1.0), (21479, 0.43099263), (23454, 1.0), (84929, 1.0), (20979, 1.0), (23273, 1.0), (21895, 1.0), (1701212, 0.9632241)]"
12406.0,"[(23215, 0.9953648), (21731, 0.9999999), (23203, 0.99992204), (22991, 0.9972933), (23284, 0.994038), (22640, 0.99999976), (8450713, 0.9631335), (21122, 0.9382351), (21249, 0.9999174), (21588, 0.9543814)]"
12407.0,"[(22992, 0.99963427), (23203, 0.97336686), (22991, 0.99999976), (23215, 0.9410733), (23200, 0.9409065), (23382, 1.0), (21819, 0.9993088), (22560, 1.0), (21915, 0.99968016), (85173, 0.845741)]"
12408.0,"[(22992, 0.9508176), (22191, 1.0), (23215, 1.0), (21479, 1.0), (22960, 1.0), (8420612, 0.9996768), (23697, 1.0), (22195, 1.0), (23575, 0.7382312), (7906621, 1.0)]"
12409.0,"[(23203, 0.99877733), (23215, 0.9986628), (22197, 0.99428564), (22991, 0.99949133), (22731, 1.0), (22090, 0.99992394), (6208611, 0.9999521), (22710, 0.9997516), (22565, 0.9999999), (21507, 0.9999052)]"
12410.0,"[(22493, 0.9856639), (22197, 0.9999945), (22991, 1.0), (23203, 0.99999976), (20701, 0.9872844), (23334, 0.95931906), (84539, 0.99998915), (23469, 0.99999464), (22116, 0.82297516), (9020113, 0.99999976)]"
12412.0,"[(23215, 0.9998254), (23203, 0.99992216), (21731, 0.98081744), (22493, 0.99936694), (84974, 1.0), (21240, 0.99951375), (21420, 1.0), (21873, 0.9996711), (22737, 0.9998192), (21206, 1.0)]"
12413.0,"[(22991, 0.9999974), (21479, 0.9994961), (21731, 0.9949604), (23215, 0.99979085), (40001, 0.91236067), (20932, 0.9999993), (82552, 0.918537), (9002614, 0.99993455), (23154, 0.9580033), (9016312, 0.99999857)]"
12414.0,"[(21731, 0.99993646), (22191, 0.99999905), (21479, 0.999387), (23203, 0.9988452), (23499, 0.99999094), (1012417, 0.98353195), (84879, 0.9922931), (4758611, 0.7042984), (22175, 0.87587035), (37343, 1.0)]"
12415.0,"[(22564, 0.99994886), (21479, 0.9999738), (11001, 0.99998903), (23215, 0.9997727), (8487512, 1.0), (22737, 0.99999726), (21018, 0.86219394), (23273, 0.99328643), (22425, 1.0), (21651, 0.9995472)]"
12417.0,"[(21731, 0.9746798), (22197, 0.9410607), (22991, 0.9207684), (22493, 0.99833304), (7906214, 1.0), (22735, 0.8008479), (8459616, 1.0), (22093, 0.76872426), (90148, 0.9500116), (21587, 1.0)]"
12418.0,"[(21731, 0.999928), (22991, 0.9891943), (22992, 0.99999964), (22191, 0.9911122), (84360, 0.9082204), (8513012, 0.97554094), (23295, 0.99998367), (9003013, 1.0), (22400, 0.9999968), (8512413, 0.99999046)]"
12420.0,"[(22991, 0.9999937), (22191, 0.999949), (21430, 0.9999882), (22992, 0.9999751), (79164, 0.99999905), (23264, 0.9999795), (22207, 1.0), (22770, 0.96760267), (9020113, 0.99696654), (22299, 0.99999964)]"
12421.0,"[(22991, 0.99998784), (21479, 0.9998523), (84879, 0.99521893), (21430, 0.9980702), (23374, 0.99992394), (8503411, 0.9094463), (21165, 0.96793735), (22028, 0.96528196), (21457, 1.0), (84820, 0.99986756)]"
12422.0,"[(23203, 0.9595306), (22991, 0.9999914), (21479, 0.99999976), (22992, 0.9997633), (23039, 0.9999999), (1700712, 1.0), (8519922, 0.90572345), (22436, 0.98795056), (9018011, 1.0), (23535, 0.7642533)]"
12423.0,"[(22197, 0.99981683), (22561, 0.999997), (22992, 0.99989915), (22493, 0.9999521), (22057, 1.0), (5102012, 1.0), (22230, 1.0), (20894, 0.998346), (22766, 0.99197525), (84452, 1.0)]"
12424.0,"[(22197, 0.9913412), (22991, 0.99386406), (21479, 0.99999905), (22992, 0.9784048), (21481, 0.9999584), (23031, 0.99999976), (22618, 0.9999685), (20663, 1.0), (35920, 1.0), (23486, 1.0)]"
12425.0,"[(23215, 0.9994474), (22191, 0.99992716), (22197, 0.9999913), (84879, 0.9278787), (47566, 0.9576572), (22502, 0.9999999), (23434, 0.96341926), (22291, 0.99385554), (22311, 1.0), (21028, 0.99826753)]"
12426.0,"[(84879, 0.99835205), (22991, 0.9999696), (23215, 0.99995625), (22197, 0.9929259), (23225, 0.9999951), (20835, 1.0), (23234, 0.9995403), (22977, 0.9999994), (22644, 0.99998057), (23106, 0.9998745)]"
12427.0,"[(23215, 0.99999523), (23203, 0.9992612), (21479, 0.99909365), (21731, 0.99999607), (23213, 1.0), (1616126, 0.99991083), (22699, 0.99961877), (20750, 0.9999975), (35914, 1.0), (17174, 0.9997949)]"
12428.0,"[(22493, 0.999972), (84879, 0.99873537), (22191, 0.99999833), (23215, 0.99992216), (48138, 0.9997811), (20615, 0.9999995), (8487512, 1.0), (3563811, 1.0), (21014, 0.9999999), (22565, 0.8988667)]"
12429.0,"[(21430, 0.99992406), (22992, 0.9998957), (21479, 0.99991536), (23203, 0.9898089), (21693, 0.9645068), (22664, 0.999998), (23142, 0.99998343), (22039, 1.0), (21161, 0.7124162), (84360, 0.9997769)]"
12430.0,"[(21430, 0.9999707), (22197, 0.9988135), (21731, 0.9996834), (22991, 0.9997743), (22028, 0.9999982), (21564, 0.98513204), (21846, 1.0), (20931, 1.0), (21376, 1.0), (7919014, 0.9981639)]"
12431.0,"[(23203, 0.9139996), (22493, 0.99996877), (84879, 0.99636227), (21430, 0.9999049), (8506133, 0.96562785), (21945, 0.9988324), (9021420, 0.9999994), (21269, 1.0), (9005812, 0.99997807), (8513613, 1.0)]"
12432.0,"[(21479, 0.9999889), (22493, 0.9946755), (22992, 0.9998042), (22191, 0.9999343), (85054, 0.9987954), (23166, 0.8384611), (23269, 1.0), (21770, 0.9830241), (22411, 0.9991441), (22716, 0.8675467)]"
12433.0,"[(21731, 0.9994708), (21430, 0.9995864), (84879, 0.9996927), (22191, 0.99997497), (9017712, 1.0), (1809413, 0.94018793), (23177, 0.99982077), (85175, 1.0), (22606, 0.9996779), (22957, 0.84818953)]"
12434.0,"[(84879, 0.9963774), (22197, 0.9838261), (22991, 0.99999356), (21731, 0.99956495), (22209, 0.9943276), (21429, 1.0), (8471112, 0.9999982), (8518311, 0.97367674), (22654, 0.9003152), (20848, 0.9999497)]"
12435.0,"[(22197, 0.99998844), (21430, 0.9997497), (84879, 0.99999976), (23203, 0.9978848), (22210, 1.0), (21527, 0.9988136), (1701216, 1.0), (22155, 1.0), (8467312, 0.99946517), (21832, 0.7017982)]"
12436.0,"[(21430, 0.9929147), (23203, 0.9994287), (22191, 0.9985298), (21479, 0.99999034), (21810, 0.887091), (20728, 0.7335642), (23232, 0.8753114), (23083, 0.9303129), (21458, 0.9998698), (23124, 0.9999782)]"
12437.0,"[(23203, 0.9999585), (22991, 0.9998233), (23215, 0.9999995), (21430, 0.99288636), (22121, 0.8276731), (21906, 1.0), (90089, 1.0), (22295, 0.99575585), (7279915, 0.99979013), (21250, 1.0)]"
12438.0,"[(22992, 0.42214516), (22493, 0.42266268), (22197, 1.0), (22191, 1.0), (23697, 1.0), (22185, 1.0), (1504414, 1.0), (21061, 1.0), (20996, 1.0), (84452, 0.99928397)]"
12441.0,"[(22991, 0.9998708), (21430, 0.99999964), (21731, 0.99297595), (84879, 0.9996214), (23225, 0.96083707), (21211, 0.99997675), (20749, 0.9998597), (22402, 0.9987784), (8195012, 0.9999999), (22988, 0.72513187)]"
12442.0,"[(21479, 0.9964824), (22992, 0.9999913), (22197, 0.9867273), (84879, 0.9931967), (21261, 1.0), (9012515, 1.0), (22563, 1.0), (7280211, 0.8921049), (8455912, 1.0), (21615, 0.77088493)]"
12444.0,"[(22493, 1.0), (22992, 1.0), (21430, 1.0), (22191, 0.42266554), (22707, 1.0), (8519922, 0.9951998), (9018012, 1.0), (21944, 1.0), (8403112, 0.99999917), (8456911, 1.0)]"
12445.0,"[(21479, 0.9681494), (84879, 0.9999231), (22191, 0.9999981), (22991, 0.9965406), (21709, 0.9424119), (1615622, 0.9426401), (11001, 0.99999976), (21684, 0.75016207), (22090, 0.93282115), (7236911, 1.0)]"
12446.0,"[(22197, 1.0), (22191, 0.9971951), (23215, 0.9750156), (84879, 0.979978), (85016, 0.9999789), (37351, 0.98806804), (22866, 1.0), (22741, 0.99999225), (8492411, 0.98926276), (22044, 1.0)]"
12447.0,"[(84879, 0.9998234), (22197, 0.9997315), (23203, 0.99558485), (22191, 0.9991146), (8497029, 0.9998394), (22557, 1.0), (22251, 1.0), (22025, 0.9999999), (22835, 0.99227375), (9012914, 0.9999999)]"
12448.0,"[(23203, 0.9999881), (21479, 0.8891728), (21731, 0.9999989), (22191, 0.94250286), (21926, 1.0), (22384, 0.99980336), (21499, 0.99999964), (23000, 0.999998), (22382, 0.9987562), (21519, 0.99950445)]"
12449.0,"[(22197, 0.8866086), (23215, 0.8887161), (22561, 0.9999558), (22992, 0.99929833), (23012, 0.99999654), (3559914, 1.0), (21579, 0.74945647), (9002412, 1.0), (23164, 0.9999999), (21476, 0.9809183)]"
12450.0,"[(22197, 0.99898714), (21479, 0.9931004), (84879, 0.9492246), (22991, 0.998667), (22557, 0.86502457), (21710, 0.73939526), (21810, 0.9439317), (8509912, 0.9891852), (85092, 1.0), (8479512, 1.0)]"
12451.0,"[(21430, 0.99987924), (22493, 0.99999535), (22992, 0.9946759), (22991, 0.99908483), (22622, 0.99393106), (8503513, 0.99807847), (21466, 0.99188447), (23413, 1.0), (3500412, 1.0), (23456, 0.999653)]"
12452.0,"[(84879, 0.99552417), (21731, 0.9995245), (22191, 0.99999964), (22991, 0.9998178), (22661, 0.9975914), (22547, 0.9587073), (23354, 0.86997396), (22796, 0.89290714), (23529, 0.9573377), (22428, 0.9999988)]"
12453.0,"[(21430, 0.99999523), (21731, 0.9973265), (22191, 0.99998975), (23203, 0.9939926), (21880, 0.853532), (22794, 0.8145741), (8456911, 0.99640393), (8512913, 1.0), (84592, 0.9999826), (20677, 0.9698948)]"
12454.0,"[(23215, 0.95218325), (22191, 0.9999932), (84879, 0.9953497), (22991, 0.99999976), (21415, 0.99999845), (9021111, 0.97903436), (22876, 0.9997054), (23003, 0.99999356), (21495, 0.997454), (21488, 0.99743724)]"
12455.0,"[(22991, 0.999997), (22197, 0.9997793), (21479, 0.9999895), (22992, 0.9999186), (22329, 0.9998754), (8502312, 1.0), (23319, 0.9999925), (8523012, 0.9719229), (22544, 0.9311269), (9021429, 0.8742482)]"
12456.0,"[(23203, 0.9999832), (22992, 0.9996152), (22991, 0.99998426), (22191, 0.9999987), (23376, 1.0), (71477, 0.9990707), (22434, 1.0), (21371, 0.9451267), (22720, 0.9999839), (1624812, 1.0)]"
12457.0,"[(23215, 1.0), (22992, 0.99999654), (23203, 0.9999999), (22991, 0.99999523), (22321, 1.0), (20963, 1.0), (8459615, 1.0), (21932, 0.99910635), (48188, 1.0), (84352, 0.9999213)]"
12458.0,"[(22493, 0.99998045), (22991, 0.983481), (23215, 0.99999774), (22197, 0.99547535), (8470711, 1.0), (23494, 0.99999905), (21463, 0.9998173), (90022, 0.9175086), (21661, 1.0), (21175, 0.99984896)]"
12461.0,"[(22992, 0.9999232), (21430, 0.99895716), (23203, 0.9999875), (23215, 0.99968743), (21398, 0.8073323), (21847, 1.0), (22429, 0.80384344), (7930223, 1.0), (22973, 0.8560261), (21357, 0.9999999)]"
12462.0,"[(84879, 0.99967194), (23215, 0.9997577), (22992, 0.9968016), (21430, 0.99956304), (21673, 0.9962282), (21588, 0.9992949), (21581, 0.9985964), (4600031, 1.0), (23315, 0.7532665), (84744, 0.79612374)]"
12463.0,"[(22991, 0.9999945), (22197, 0.99986875), (22561, 0.9999597), (21479, 0.99999523), (22798, 0.9831254), (21785, 1.0), (22873, 0.9771255), (22108, 1.0), (22078, 1.0), (21368, 0.9996007)]"
12464.0,"[(21731, 0.9999881), (22197, 0.99969757), (23215, 0.99999523), (22191, 0.99998426), (5102012, 0.9985916), (22824, 0.9966157), (21465, 0.86620784), (20754, 0.99998176), (23270, 0.9999465), (21375, 1.0)]"
12465.0,"[(22191, 0.86485744), (21731, 0.9998456), (22197, 0.9699775), (21430, 0.99999833), (35653, 1.0), (82615, 1.0), (1505626, 0.9963374), (3744413, 0.99949837), (21426, 0.997995), (9016112, 0.76880085)]"
12468.0,"[(21430, 0.9999949), (21479, 0.99999964), (21731, 0.9996158), (22197, 0.986545), (21216, 0.99997985), (23437, 0.9999393), (8402917, 0.9999981), (22464, 0.9994691), (21259, 0.9999865), (3748712, 0.93921685)]"
12471.0,"[(23203, 0.7587396), (22561, 0.67752415), (22197, 0.7163307), (23207, 1.0), (21973, 1.0), (23124, 0.7873469), (4758611, 1.0), (85092, 0.99969196), (22801, 0.94006276), (35653, 0.9979037)]"
12472.0,"[(84879, 0.9754404), (23215, 0.9999286), (22493, 0.9952506), (21430, 0.99999607), (35241, 0.99897134), (8420611, 1.0), (90170, 0.8307484), (22465, 0.9995437), (21989, 0.9999974), (21355, 0.99961287)]"
12473.0,"[(21430, 0.9998958), (22191, 0.9949109), (22197, 0.9991812), (21731, 0.98669994), (21068, 0.9693471), (21003, 1.0), (22639, 0.98914146), (22844, 0.9994098), (22468, 0.999879), (23009, 0.91070634)]"
12474.0,"[(22561, 1.0), (23203, 0.97191614), (21479, 1.0), (22991, 0.57613415), (8195032, 0.9999999), (23306, 1.0), (22760, 1.0), (1620711, 0.9997075), (22500, 1.0), (21143, 1.0)]"
12475.0,"[(22992, 0.9977549), (23215, 0.99999833), (22197, 0.995606), (22191, 0.9998178), (22025, 0.99986064), (84832, 0.8730294), (8403015, 0.9998466), (21643, 0.72891146), (21430, 0.99996185), (16016, 0.99999845)]"
12476.0,"[(22991, 0.9920846), (22197, 0.9978295), (22561, 0.9997656), (21731, 0.99999654), (21670, 0.9996773), (8508611, 0.9548029), (4758511, 0.9999093), (9017612, 1.0), (23564, 0.99956316), (22350, 0.9975688)]"
12477.0,"[(23215, 0.99997234), (23203, 0.9905944), (21731, 0.99892336), (22561, 0.9999808), (21263, 0.9999796), (8487211, 0.99999726), (85038, 0.9800842), (21376, 0.9998356), (7110115, 1.0), (22944, 1.0)]"
12478.0,"[(84879, 0.9899455), (23203, 0.9997646), (22493, 0.99999154), (22197, 0.9999155), (84584, 1.0), (22571, 0.9998913), (21402, 0.9950262), (22906, 1.0), (82580, 0.99968743), (21534, 0.96859133)]"
12479.0,"[(23203, 0.96757925), (21731, 0.99999833), (21430, 0.9999583), (22191, 0.99900985), (22607, 1.0), (22625, 0.9999839), (3748811, 1.0), (21724, 0.9939108), (90191, 0.99998677), (9000014, 0.98888075)]"
12480.0,"[(21731, 0.99928683), (22197, 0.9915024), (23215, 0.9999988), (21479, 0.9053527), (20845, 0.99999833), (23340, 1.0), (84568, 0.9324653), (23198, 0.99996877), (23353, 0.9763664), (22038, 0.87835515)]"
12481.0,"[(23215, 1.0), (21430, 1.0), (22992, 0.4392742), (22561, 0.46318638), (7149511, 0.9999883), (22284, 1.0), (37468, 1.0), (23343, 1.0), (1012417, 0.9999999), (4759311, 0.99999857)]"
12483.0,"[(84879, 0.9947404), (21430, 0.9999981), (22493, 0.97861266), (22197, 0.99999523), (21411, 0.9999999), (21373, 0.84366125), (20657, 0.9481836), (20934, 0.9926081), (84816, 0.8001529), (16045, 0.9999937)]"
12484.0,"[(84879, 0.9969728), (23215, 0.999961), (22191, 0.99999833), (21481, 0.99909246), (21877, 0.99879646), (21785, 1.0), (22545, 0.96834284), (21878, 1.0), (22952, 0.87911034), (23113, 0.99999917)]"
12488.0,"[(22191, 0.9943745), (22197, 0.9957883), (23203, 0.99993753), (23215, 0.9999995), (9021425, 0.99998903), (20766, 0.95032597), (20827, 0.95357186), (22190, 0.998002), (7222513, 0.9999989), (90116, 1.0)]"
12489.0,"[(23215, 1.0), (22991, 0.649944), (23203, 1.0), (21430, 0.7032432), (84744, 1.0), (9003612, 0.83902884), (23183, 0.99671125), (22488, 0.75012916), (9000014, 0.8531842), (9001611, 0.99999964)]"
12490.0,"[(23207, 1.0), (21479, 1.0), (84879, 0.9629194), (23215, 0.9430091), (9021425, 0.9169764), (35961, 0.9760992), (9016011, 0.8572239), (22695, 1.0), (21313, 0.99999213), (20762, 0.82859254)]"
12491.0,"[(23215, 0.99964035), (23203, 0.9162844), (22197, 0.99973017), (21479, 0.99633944), (21678, 1.0), (22797, 0.999995), (23394, 0.9992244), (8471112, 1.0), (21904, 0.9992805), (23501, 0.9999995)]"
12492.0,"[(84879, 1.0), (21430, 0.8608805), (21479, 1.0), (22191, 1.0), (22200, 0.80475235), (22561, 1.0), (22555, 1.0), (22131, 1.0), (21812, 1.0), (8459612, 1.0)]"
12493.0,"[(21731, 1.0), (22991, 0.9998996), (23203, 0.9999858), (21430, 0.99998295), (22692, 1.0), (21934, 1.0), (22088, 1.0), (22479, 0.9998746), (22681, 1.0), (7214015, 1.0)]"
12494.0,"[(22991, 0.9999522), (21731, 0.9997613), (21430, 0.99986005), (23203, 0.99581015), (85055, 1.0), (85177, 0.87056994), (22096, 0.9947488), (21881, 0.7202619), (8512914, 0.9713382), (22732, 0.87407)]"
12497.0,"[(21731, 0.99999523), (22197, 0.9942726), (23215, 0.9985696), (22991, 0.9998474), (22662, 0.97626513), (20655, 0.9958962), (21883, 0.9629157), (21169, 0.96506363), (20615, 0.8440438), (23050, 0.99999964)]"
12498.0,"[(22992, 0.99999106), (22191, 0.9955857), (22991, 0.99999785), (84879, 0.99799526), (23196, 0.9835844), (22197, 0.999913), (21394, 0.99999535), (8427926, 0.8927281), (22773, 0.7123946), (8513013, 0.7776977)]"
